#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.89e+01      4.54e-02      9.14e-01    1.0e-03
   1000      5.50e+00      1.00e-01      1.74e-01    1.0e-03
   2000      6.88e+00      1.11e-01      2.17e-01    1.0e-03
   3000      7.30e+00      2.71e-02      2.31e-01    1.0e-03
   4000      6.73e+00      1.43e-02      2.13e-01    1.0e-03
   5000      3.45e+00      1.93e-02      1.10e-01    9.9e-04
   6000      6.16e+00      4.13e-02      1.96e-01    9.9e-04
   7000      6.43e+00      3.19e-02      2.04e-01    9.9e-04
   8000      4.62e+00      3.33e-02      1.47e-01    9.9e-04
   9000      4.10e+00      3.80e-02      1.30e-01    9.9e-04
  10000      4.14e+00      2.39e-02      1.32e-01    9.8e-04
  11000      4.21e+00      5.97e-03      1.35e-01    9.8e-04
  12000      3.94e+00      2.03e-02      1.26e-01    9.8e-04
  13000      3.97e+00      1.13e-02      1.27e-01    9.8e-04
  14000      3.28e+00      5.37e-03      1.05e-01    9.8e-04
  15000      3.70e+00      1.46e-02      1.19e-01    9.7e-04
  16000      3.19e+00      2.04e-02      1.03e-01    9.7e-04
  17000      3.66e+00      1.73e-03      1.18e-01    9.7e-04
  18000      3.89e+00      2.50e-02      1.25e-01    9.7e-04
  19000      2.57e+00      1.80e-02      8.28e-02    9.7e-04
  20000      3.47e+00      3.18e-03      1.12e-01    9.5e-04
  21000      6.00e+00      2.22e-02      1.94e-01    9.5e-04
  22000      2.97e+00      1.98e-02      9.62e-02    9.5e-04
  23000      2.91e+00      2.45e-02      9.42e-02    9.5e-04
  24000      2.66e+00      6.02e-03      8.62e-02    9.5e-04
  25000      3.67e+00      1.29e-02      1.19e-01    9.4e-04
  26000      3.94e+00      8.57e-03      1.28e-01    9.4e-04
  27000      2.91e+00      8.61e-03      9.49e-02    9.4e-04
  28000      2.77e+00      3.13e-02      9.02e-02    9.4e-04
  29000      2.98e+00      7.98e-03      9.70e-02    9.4e-04
  30000      2.74e+00      5.96e-03      8.98e-02    9.3e-04
  31000      3.74e+00      2.52e-02      1.22e-01    9.3e-04
  32000      2.94e+00      2.85e-02      9.62e-02    9.3e-04
  33000      3.04e+00      2.95e-03      9.96e-02    9.3e-04
  34000      2.94e+00      2.07e-02      9.62e-02    9.3e-04
  35000      3.95e+00      1.33e-02      1.30e-01    9.2e-04
  36000      2.31e+00      7.45e-03      7.62e-02    9.2e-04
  37000      2.10e+00      1.38e-03      6.91e-02    9.2e-04
  38000      2.84e+00      2.65e-02      9.34e-02    9.2e-04
  39000      2.57e+00      4.18e-02      8.43e-02    9.2e-04
  40000      2.78e+00      2.09e-02      9.20e-02    9.1e-04
  41000      2.75e+00      1.85e-02      9.12e-02    9.1e-04
  42000      2.95e+00      1.59e-02      9.77e-02    9.1e-04
  43000      3.19e+00      1.68e-03      1.06e-01    9.1e-04
  44000      3.31e+00      5.85e-03      1.10e-01    9.1e-04
  45000      3.80e+00      1.20e-02      1.27e-01    9.0e-04
  46000      2.96e+00      5.78e-02      9.82e-02    9.0e-04
  47000      2.54e+00      7.35e-03      8.46e-02    9.0e-04
  48000      2.79e+00      1.36e-02      9.27e-02    9.0e-04
  49000      3.12e+00      1.60e-03      1.04e-01    9.0e-04
  50000      2.29e+00      8.13e-03      7.67e-02    8.9e-04
  51000      2.28e+00      1.20e-02      7.62e-02    8.9e-04
  52000      2.39e+00      1.39e-02      8.01e-02    8.9e-04
  53000      2.70e+00      6.30e-03      9.05e-02    8.9e-04
  54000      3.23e+00      5.67e-03      1.08e-01    8.9e-04
  55000      1.96e+00      1.40e-03      6.60e-02    8.8e-04
  56000      3.90e+00      1.91e-02      1.31e-01    8.8e-04
  57000      2.44e+00      5.06e-03      8.21e-02    8.8e-04
  58000      3.11e+00      1.46e-02      1.05e-01    8.8e-04
  59000      2.13e+00      9.10e-03      7.19e-02    8.8e-04
  60000      3.51e+00      6.59e-03      1.19e-01    8.7e-04
  61000      2.73e+00      7.36e-03      9.26e-02    8.7e-04
  62000      1.52e+00      1.25e-02      5.16e-02    8.7e-04
  63000      2.76e+00      1.22e-04      9.35e-02    8.7e-04
  64000      2.13e+00      2.18e-02      7.22e-02    8.7e-04
  65000      2.69e+00      2.89e-02      9.17e-02    8.6e-04
  66000      2.08e+00      6.03e-03      7.09e-02    8.6e-04
  67000      2.57e+00      6.73e-02      8.67e-02    8.6e-04
  68000      2.26e+00      4.65e-02      7.66e-02    8.6e-04
  69000      2.77e+00      5.43e-03      9.43e-02    8.6e-04
  70000      1.96e+00      1.83e-02      6.69e-02    8.5e-04
  71000      1.78e+00      1.11e-02      6.09e-02    8.5e-04
  72000      2.43e+00      6.72e-03      8.33e-02    8.5e-04
  73000      2.10e+00      2.94e-03      7.21e-02    8.5e-04
  74000      1.67e+00      9.87e-04      5.72e-02    8.5e-04
  75000      1.96e+00      9.25e-03      6.76e-02    8.4e-04
  76000      2.14e+00      1.58e-02      7.36e-02    8.4e-04
  77000      2.54e+00      7.51e-03      8.74e-02    8.4e-04
  78000      1.93e+00      1.59e-02      6.63e-02    8.4e-04
  79000      2.29e+00      3.81e-03      7.89e-02    8.4e-04
  80000      2.16e+00      2.35e-02      7.48e-02    8.3e-04
  81000      2.62e+00      4.43e-02      9.05e-02    8.3e-04
  82000      2.16e+00      2.08e-03      7.48e-02    8.3e-04
  83000      3.92e+00      1.13e-03      1.36e-01    8.3e-04
  84000      2.70e+00      8.18e-03      9.35e-02    8.3e-04
  85000      2.19e+00      1.28e-02      7.65e-02    8.2e-04
  86000      1.93e+00      6.37e-03      6.72e-02    8.2e-04
  87000      2.32e+00      1.74e-02      8.09e-02    8.2e-04
  88000      1.97e+00      4.13e-03      6.88e-02    8.2e-04
  89000      2.20e+00      1.16e-02      7.68e-02    8.2e-04
  90000      1.97e+00      1.42e-02      6.89e-02    8.1e-04
  91000      1.94e+00      4.59e-03      6.82e-02    8.1e-04
  92000      2.19e+00      1.03e-02      7.68e-02    8.1e-04
  93000      1.98e+00      1.88e-02      6.92e-02    8.1e-04
  94000      2.33e+00      1.63e-02      8.17e-02    8.1e-04
  95000      2.55e+00      2.40e-02      8.99e-02    8.0e-04
  96000      2.43e+00      2.95e-03      8.59e-02    8.0e-04
  97000      2.25e+00      8.33e-04      7.95e-02    8.0e-04
  98000      2.22e+00      4.75e-03      7.84e-02    8.0e-04
  99000      1.66e+00      1.37e-03      5.85e-02    8.0e-04
 100000      1.95e+00      2.23e-02      6.89e-02    7.9e-04
 101000      2.06e+00      1.60e-02      7.32e-02    7.9e-04
 102000      2.21e+00      1.22e-02      7.84e-02    7.9e-04
 103000      2.34e+00      2.27e-02      8.30e-02    7.9e-04
 104000      1.91e+00      1.70e-02      6.76e-02    7.9e-04
 105000      2.25e+00      1.03e-02      8.03e-02    7.9e-04
 106000      2.29e+00      2.23e-02      8.17e-02    7.9e-04
 107000      1.98e+00      9.83e-03      7.07e-02    7.9e-04
 108000      1.80e+00      1.44e-02      6.40e-02    7.9e-04
 109000      2.85e+00      1.11e-02      1.02e-01    7.9e-04
 110000      2.43e+00      1.48e-02      8.72e-02    7.8e-04
 111000      2.07e+00      1.12e-02      7.42e-02    7.8e-04
 112000      2.79e+00      1.04e-02      1.00e-01    7.8e-04
 113000      1.85e+00      3.52e-03      6.65e-02    7.8e-04
 114000      2.08e+00      1.37e-02      7.44e-02    7.8e-04
 115000      2.18e+00      5.42e-03      7.88e-02    7.7e-04
 116000      2.12e+00      9.07e-03      7.65e-02    7.7e-04
 117000      2.14e+00      2.90e-02      7.68e-02    7.7e-04
 118000      1.77e+00      1.32e-02      6.38e-02    7.7e-04
 119000      2.10e+00      3.76e-02      7.52e-02    7.7e-04
 120000      1.77e+00      1.70e-02      6.40e-02    7.6e-04
 121000      3.02e+00      2.04e-02      1.10e-01    7.6e-04
 122000      2.43e+00      1.07e-03      8.84e-02    7.6e-04
 123000      2.17e+00      2.02e-02      7.87e-02    7.6e-04
 124000      2.28e+00      1.17e-02      8.27e-02    7.6e-04
 125000      1.63e+00      6.54e-03      5.96e-02    7.5e-04
 126000      1.71e+00      1.37e-02      6.24e-02    7.5e-04
 127000      1.88e+00      1.22e-02      6.84e-02    7.5e-04
 128000      1.80e+00      6.87e-03      6.57e-02    7.5e-04
 129000      1.68e+00      8.65e-03      6.14e-02    7.5e-04
 130000      2.09e+00      1.61e-02      7.65e-02    7.4e-04
 131000      2.77e+00      1.44e-02      1.02e-01    7.4e-04
 132000      1.85e+00      1.76e-02      6.80e-02    7.4e-04
 133000      2.09e+00      6.27e-03      7.69e-02    7.4e-04
 134000      2.38e+00      1.02e-02      8.75e-02    7.4e-04
 135000      2.67e+00      1.04e-02      9.86e-02    7.3e-04
 136000      1.67e+00      3.83e-03      6.16e-02    7.3e-04
 137000      1.55e+00      6.29e-03      5.71e-02    7.3e-04
 138000      2.19e+00      1.12e-02      8.07e-02    7.3e-04
 139000      2.60e+00      5.45e-03      9.59e-02    7.3e-04
 140000      4.83e+00      2.03e-02      1.79e-01    7.2e-04
 141000      1.90e+00      1.11e-03      7.04e-02    7.2e-04
 142000      2.04e+00      1.12e-03      7.57e-02    7.2e-04
 143000      2.04e+00      7.47e-03      7.56e-02    7.2e-04
 144000      1.94e+00      1.04e-02      7.19e-02    7.2e-04
 145000      2.03e+00      2.77e-02      7.53e-02    7.2e-04
 146000      2.03e+00      1.25e-03      7.57e-02    7.2e-04
 147000      2.24e+00      8.22e-03      8.38e-02    7.2e-04
 148000      2.21e+00      7.36e-05      8.26e-02    7.2e-04
 149000      2.05e+00      1.41e-02      7.65e-02    7.2e-04
 150000      1.78e+00      1.68e-02      6.69e-02    7.1e-04
 151000      1.80e+00      1.56e-02      6.74e-02    7.1e-04
 152000      1.55e+00      1.46e-02      5.80e-02    7.1e-04
 153000      1.84e+00      2.92e-03      6.92e-02    7.1e-04
 154000      2.09e+00      2.11e-03      7.86e-02    7.1e-04
 155000      1.71e+00      6.70e-04      6.45e-02    7.0e-04
 156000      2.11e+00      4.03e-02      7.89e-02    7.0e-04
 157000      1.86e+00      4.62e-03      7.03e-02    7.0e-04
 158000      1.61e+00      2.53e-02      6.03e-02    7.0e-04
 159000      1.75e+00      2.26e-03      6.61e-02    7.0e-04
 160000      1.86e+00      1.52e-02      7.04e-02    6.9e-04
 161000      1.69e+00      2.15e-02      6.41e-02    6.9e-04
 162000      1.77e+00      1.18e-02      6.73e-02    6.9e-04
 163000      1.76e+00      1.68e-02      6.68e-02    6.9e-04
 164000      1.86e+00      1.52e-04      7.09e-02    6.9e-04
 165000      1.91e+00      3.67e-03      7.30e-02    6.8e-04
 166000      1.83e+00      7.04e-03      6.98e-02    6.8e-04
 167000      2.02e+00      1.94e-02      7.72e-02    6.8e-04
 168000      1.57e+00      1.11e-02      6.00e-02    6.8e-04
 169000      1.93e+00      7.41e-03      7.38e-02    6.8e-04
 170000      1.69e+00      1.91e-02      6.48e-02    6.8e-04
 171000      1.81e+00      1.59e-02      6.94e-02    6.8e-04
 172000      1.60e+00      2.05e-02      6.12e-02    6.8e-04
 173000      1.87e+00      3.23e-03      7.18e-02    6.8e-04
 174000      1.75e+00      1.93e-02      6.69e-02    6.8e-04
 175000      1.87e+00      1.50e-02      7.20e-02    6.7e-04
 176000      1.64e+00      8.14e-03      6.36e-02    6.7e-04
 177000      1.67e+00      3.03e-03      6.46e-02    6.7e-04
 178000      2.23e+00      6.64e-04      8.63e-02    6.7e-04
 179000      2.35e+00      1.38e-03      9.10e-02    6.7e-04
 180000      1.72e+00      4.18e-03      6.68e-02    6.6e-04
 181000      2.01e+00      1.51e-02      7.82e-02    6.6e-04
 182000      2.03e+00      1.24e-02      7.88e-02    6.6e-04
 183000      2.46e+00      2.02e-03      9.56e-02    6.6e-04
 184000      1.76e+00      1.48e-02      6.82e-02    6.6e-04
 185000      1.79e+00      1.03e-02      6.98e-02    6.5e-04
 186000      1.91e+00      1.10e-02      7.44e-02    6.5e-04
 187000      1.75e+00      1.58e-02      6.83e-02    6.5e-04
 188000      1.71e+00      1.43e-02      6.66e-02    6.5e-04
 189000      2.48e+00      4.98e-03      9.69e-02    6.5e-04
 190000      2.05e+00      3.89e-03      8.08e-02    6.5e-04
 191000      2.69e+00      5.93e-03      1.06e-01    6.5e-04
 192000      1.89e+00      3.49e-03      7.43e-02    6.5e-04
 193000      1.92e+00      1.86e-02      7.53e-02    6.5e-04
 194000      1.78e+00      1.55e-03      7.02e-02    6.5e-04
 195000      1.47e+00      8.13e-03      5.80e-02    6.4e-04
 196000      1.76e+00      1.78e-02      6.96e-02    6.4e-04
 197000      1.49e+00      4.79e-03      5.89e-02    6.4e-04
 198000      2.25e+00      7.54e-03      8.91e-02    6.4e-04
 199000      1.75e+00      3.09e-05      6.92e-02    6.4e-04
 200000      1.89e+00      1.08e-02      7.51e-02    6.3e-04
 201000      1.42e+00      4.35e-04      5.63e-02    6.3e-04
 202000      2.10e+00      1.71e-02      8.35e-02    6.3e-04
 203000      2.18e+00      8.09e-03      8.67e-02    6.3e-04
 204000      1.78e+00      5.81e-03      7.09e-02    6.3e-04
 205000      1.66e+00      6.00e-03      6.66e-02    6.2e-04
 206000      2.00e+00      1.62e-02      8.00e-02    6.2e-04
 207000      2.37e+00      6.83e-03      9.50e-02    6.2e-04
 208000      1.46e+00      5.00e-03      5.83e-02    6.2e-04
 209000      1.98e+00      2.23e-02      7.91e-02    6.2e-04
 210000      1.52e+00      8.80e-03      6.13e-02    6.2e-04
 211000      1.67e+00      5.93e-03      6.71e-02    6.2e-04
 212000      2.05e+00      1.31e-02      8.22e-02    6.2e-04
 213000      1.42e+00      1.08e-02      5.72e-02    6.2e-04
 214000      1.76e+00      2.09e-02      7.06e-02    6.2e-04
 215000      1.61e+00      2.70e-02      6.45e-02    6.1e-04
 216000      2.23e+00      2.32e-02      8.99e-02    6.1e-04
 217000      1.64e+00      1.02e-02      6.64e-02    6.1e-04
 218000      1.79e+00      2.84e-03      7.26e-02    6.1e-04
 219000      1.62e+00      1.93e-02      6.53e-02    6.1e-04
 220000      1.78e+00      4.11e-04      7.27e-02    6.0e-04
 221000      1.88e+00      1.24e-02      7.63e-02    6.0e-04
 222000      1.84e+00      1.72e-02      7.49e-02    6.0e-04
 223000      1.84e+00      1.82e-02      7.46e-02    6.0e-04
 224000      1.85e+00      9.80e-03      7.55e-02    6.0e-04
 225000      1.50e+00      5.95e-03      6.13e-02    6.0e-04
 226000      1.54e+00      2.96e-03      6.31e-02    6.0e-04
 227000      1.39e+00      2.18e-02      5.64e-02    6.0e-04
 228000      1.54e+00      6.13e-03      6.31e-02    6.0e-04
 229000      1.91e+00      1.49e-03      7.83e-02    6.0e-04
 230000      1.74e+00      3.02e-04      7.16e-02    5.9e-04
 231000      1.71e+00      1.95e-02      6.99e-02    5.9e-04
 232000      1.91e+00      2.60e-03      7.86e-02    5.9e-04
 233000      1.87e+00      5.90e-03      7.72e-02    5.9e-04
 234000      1.45e+00      9.98e-05      5.99e-02    5.9e-04
 235000      1.46e+00      5.68e-04      6.06e-02    5.8e-04
 236000      1.52e+00      2.64e-03      6.31e-02    5.8e-04
 237000      1.37e+00      4.00e-03      5.67e-02    5.8e-04
 238000      1.68e+00      7.52e-03      6.96e-02    5.8e-04
 239000      1.67e+00      8.20e-03      6.90e-02    5.8e-04
 240000      1.82e+00      3.32e-03      7.60e-02    5.8e-04
 241000      1.47e+00      8.87e-03      6.10e-02    5.8e-04
 242000      1.67e+00      2.32e-02      6.92e-02    5.8e-04
 243000      2.90e+00      2.38e-02      1.21e-01    5.8e-04
 244000      1.48e+00      5.19e-03      6.14e-02    5.8e-04
 245000      1.48e+00      1.48e-02      6.17e-02    5.7e-04
 246000      1.86e+00      6.52e-03      7.78e-02    5.7e-04
 247000      1.64e+00      2.48e-02      6.81e-02    5.7e-04
 248000      1.70e+00      6.94e-03      7.13e-02    5.7e-04
 249000      1.77e+00      7.18e-03      7.41e-02    5.7e-04
 250000      1.40e+00      8.72e-03      5.87e-02    5.6e-04
 251000      1.81e+00      1.50e-02      7.62e-02    5.6e-04
 252000      1.58e+00      8.98e-03      6.65e-02    5.6e-04
 253000      1.59e+00      5.60e-03      6.71e-02    5.6e-04
 254000      1.81e+00      1.61e-02      7.60e-02    5.6e-04
 255000      1.42e+00      9.26e-03      6.01e-02    5.6e-04
 256000      1.54e+00      1.46e-02      6.49e-02    5.6e-04
 257000      1.38e+00      7.33e-03      5.86e-02    5.6e-04
 258000      2.32e+00      9.83e-04      9.82e-02    5.6e-04
 259000      1.73e+00      4.34e-03      7.35e-02    5.6e-04
 260000      1.73e+00      1.92e-03      7.39e-02    5.5e-04
 261000      1.86e+00      9.42e-03      7.91e-02    5.5e-04
 262000      1.34e+00      1.41e-02      5.68e-02    5.5e-04
 263000      1.26e+00      4.62e-03      5.37e-02    5.5e-04
